,Date,Particulars,Debit,Credit,Balance,Category
55,2020-05-12,CAPITAL FIRST LIMITED,,450000,551963.04,shoppingAndFood
56,2020-05-12,By Clg 409802 SBI UDIPI,,125589,677552.04,shoppingAndFood
57,2020-05-14,HINDUJA LEYLAND FINANCE LTD LOAN,,165000,842552.04,shoppingAndFood
58,2020-05-16,ACH Debit/LIC OF INDIA/95983652209786,7423,,835129.04,shoppingAndFood
59,2020-05-19,By Clg 678611 VJB UDIPI,,100160,935289.04,shoppingAndFood
60,2020-05-19,By Clg 127874 SBI UDIPI,,250920,1186209.04,shoppingAndFood
61,2020-05-30,By Clg 161465 229 Delhi,5500,,1180709.04,shoppingAndFood
62,2020-05-30,BRN-OW RTN CLG: REJECT:161465:39-IMAGE NOT CLEAR,,5500,1186209.04,shoppingAndFood
63,2020-06-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,1154566.04,shoppingAndFood
64,2020-06-03,RTGS/MB/AXMB180377666732/BHARAT MARKETING,137210,,1017356.04,shoppingAndFood
65,2020-06-03,INB/IFT/MOJOPANDA NATURALS PRIVATE LIMITED/TPARTY,150000,,867356.04,shoppingAndFood
66,2020-06-03,NEFT/MB/AXMB180388836767/SAI TULAJA ENTERPRISES,250000,,617356.04,shoppingAndFood
67,2020-06-03,By Clg 528826 COB UDIPI,,79434,696790.04,shoppingAndFood
68,2020-06-10,By Clg 250779 SYB UDIPI,,86396,783186.04,shoppingAndFood
69,2020-06-10,By Clg 116766 UBI UDIPI,,77159,860345.04,shoppingAndFood
70,2020-06-10,By Clg 617444 KBL UDIPI,,62865,923210.04,shoppingAndFood
71,2020-06-10,By Clg 918339 COB UDIPI,,97238,1020448.04,shoppingAndFood
72,2020-06-12,UPI/032519362950/19:12:46/UPI/618002010008311@ubi,3000,,1017448.04,shoppingAndFood
73,2020-06-15,INB/7405488/INTERNET TAX PAYMENT/,40000,,977448.04,shoppingAndFood
74,2020-06-16,ACH Debit/LIC OF INDIA/9598365278909,7423,,970025.04,shoppingAndFood
75,2020-06-25,NACH-DR- EDELWEISSRETAILFINLT,29121,,940904.04,shoppingAndFood
76,2020-07-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,909261.04,
77,2020-07-15,NEFT/MB/AXMB180382345072/VGUARD INDUSTRIES LTD,70888,,838373.04,
78,2020-07-15,NACH-DR- MAGMA FINCORP LIMITED,74472,,763901.04,
79,2020-07-16,ACH Debit/LIC OF INDIA/95988976545,7423,,756478.04,
80,2020-07-25,NACH-DR- EDELWEISSRETAILFINLT,29121,,727357.04,
81,2020-07-30,ACH/SUNDARAM FINANCE LIT/6575567,,600000,1327357.04,
82,,,,,,
83,2020-07-30,SMSChrgsAPR-JUN20+GST CUS T 192996645,26269,,1301088.04,
84,2020-08-02,GST @18% on Charge,9,,1301079.04,
85,2020-08-02,Consolidated Charges for A/c,1050,,1300029.04,
86,2020-08-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,1268386.04,
87,2020-08-04,EDC/00093-00093-/M037022032846100,,10557.83,1278943.87,
88,2020-08-05,NEFT/SBIN818099874607/Mr YOGENDRA KUMAR,7900,,1271043.87,
89,2020-08-07,RTGS-HDFCR520190213548573054-HDFC BANK LTD RA OPS- 121020982-HDFC0006780,,150000,1421043.87,
90,2020-08-10,EPF/0240712180004444611812000717/I/5025630469,80324,,1340719.87,
91,2020-08-11,BILLDESK/PCPN6973087886 /5025630854/MSR-ESIC-NOV-18,19152,,1321567.87,
92,2020-08-16,ACH Debit/LIC OF INDIA/959889797594,7423,,1314144.87,
93,2020-08-25,NACH-DR- EDELWEISSRETAILFINLT,29121,,1285023.87,
94,2020-09-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,1253380.87,
95,2020-09-05,EPF/0241012180008943181812005790/I/5025683738,63126,,1190254.87,
96,2020-09-08,NEFT/SBIN818099874607/Mr YOGENDRA KUMAR,,19660,1209914.87,
97,2020-09-10,SAK/CASH DEP/SAK0387995682/156/BY CASH/AKHIL SHETTY,,409000,1618914.87,
98,2020-09-12,EDC/00162-00162-/M037022032846100,,21650,1640564.87,
99,2020-09-15,INB/7179878/INTERNET TAX PAYMENT/tds march 2018,6000,,1634564.87,
100,2020-09-16,ACH Debit/LIC OF INDIA/95988979759989,7423,,1627141.87,
101,2020-09-17,INB/14706561/INTERNET TAX PAYMENT/ADVANCE TAX,80000,,1547141.87,
102,2020-09-17,CASA Debit Interest Capitalized 11905,12190,,1534951.87,
103,2020-09-20,BY TRANSFER-UPI/CR/00123456765/Bharatpe/YESB/Bharatpayme,,41367,1576318.87,
104,2020-09-25,NACH-DR- EDELWEISSRETAILFINLT,29121,,1547197.87,
105,2020-09-30,SMSChrgsJUL-SEP20+GST CUS T 192996645,23285,,1523912.87,
